artist,title,review_link,album_track,genre,artwork
Kali Uchis,Red Moon in Venus,https://pitchfork.com/best//reviews/albums/kali-uchis-red-moon-in-venus/,Album,['Pop/R&B'],https://media.pitchfork.com/photos/63cece0fa5957e2471744d13/1:1/w_320/Kali-Uchis-Red-Moon-in-Venus.jpg
Various Artists,Soul’d Out: The Complete Wattstax Collection,https://pitchfork.com/best//reviews/albums/various-artists-sould-out-the-complete-wattstax-collection/,Album,[],https://media.pitchfork.com/photos/63ff7859f530dec2c4f628f3/1:1/w_320/Soul%E2%80%99d%20Out-%20The%20Complete%20Wattstax%20Collection.jpg
Model/Actriz,Dogsbody,/reviews/albums/model-actriz-dogsbody/,Album,Rock,https://media.pitchfork.com/photos/63c562f0688dbc4c5e3383bc/1:1/w_160/Model-Actriz-Dogsbody.jpg
Liv.e,Girl in the Half Pearl,/reviews/albums/live-girl-in-the-half-pearl/,Album,Pop/R&B,https://media.pitchfork.com/photos/63b85a20198393ca23dbcc96/1:1/w_160/Liv.e-Girl-in-the-Half-Pearl.jpeg
Caroline Polachek,"Desire, I Want to Turn Into You",/reviews/albums/caroline-polachek-desire-i-want-to-turn-into-you/,Album,Pop/R&B,https://media.pitchfork.com/photos/638e25b9050dcbdc83fd7926/1:1/w_160/Caroline-Polachek.jpg
Kelela,Raven,/reviews/albums/kelela-raven/,Album,Pop/R&B,https://media.pitchfork.com/photos/6373a6527e5580f69600d789/1:1/w_160/WARP320_Packshot_3000.jpg
Yo La Tengo,This Stupid World,/reviews/albums/yo-la-tengo-this-stupid-world/,Album,Rock,https://media.pitchfork.com/photos/636277ecdc5d82c6ee0367d0/1:1/w_160/Yo-La-Tengo.jpg
파란노을 (Parannoul),After the Magic ,/reviews/albums/parannoul-after-the-magic/,Album,Rock,https://media.pitchfork.com/photos/63d4551997fa621ce5fdfb12/1:1/w_160/cover%20art.jpg
Phew,Our Likeness,/reviews/albums/phew-our-likeness/,Album,Experimental,https://media.pitchfork.com/photos/63f4ebad1fb8fd1f5544fc39/1:1/w_160/Phew-%20Our%20Likeness%20%5Breissue%5D.jpeg
Laraaji,Segue to Infinity,/reviews/albums/laraaji-segue-to-infinity/,Album,Experimental,https://media.pitchfork.com/photos/63768f06f1eed26a1b67ef58/1:1/w_160/Laraaji.jpg
Bob Dylan,"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17",/reviews/albums/bob-dylan-fragments-time-out-of-mind-sessions-1996-1997-the-bootleg-series-vol-17/,Album,Rock,https://media.pitchfork.com/photos/6376593f88636060815b6a01/1:1/w_160/Bob-Dylan-Deluxe.jpg
PJ Harvey,"B-Sides, Demos & Rarities",/reviews/albums/pj-harvey-b-sides-demos-and-rarities/,Album,Rock,https://media.pitchfork.com/photos/631fc698800c1a0f8721b44a/1:1/w_160/PJ-Harvey.jpg
David Bowie,Divine Symmetry ,/reviews/albums/david-bowie-divine-symmetry/,Album,Rock,https://media.pitchfork.com/photos/6336005157d9fb94bcd5cf30/1:1/w_160/David-Bowie.jpg
Galcher Lustwerk,100% Galcher,/reviews/albums/galcher-lustwerk-100-galcher/,Album,Electronic,https://media.pitchfork.com/photos/6388c342f777c8e284615d68/1:1/w_160/Galcher%20Lustwerk-%20100%25%20Galcher%20.jpeg
